Name,Qualification,Specialization,Link
Dr. S. Rajeshwar Rao,"MBBS, MD, DCh (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-s-rajeshwar-rao-paediatrician
Dr. Aavula Muralidhar,MBBS,General Physician,skedoc.com/hyderabad/doctor/dr-aavula-muralidhar-general-physician
Dr. Adiraju Krishna Prasad,"MBBS, DNB (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-adiraju-krishna-prasad-general-physician
Dr. G. Swetha,"MBBS, MS (OBG), DNB (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-g-swetha-gynaecologist
Dr. Indira,"MBBS, MD ( DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-indira-dermatologist
Dr. Juveria Majeed,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-juveria-majeed-ent-surgeon
Dr. M. Gireesh Kumar,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-m-gireesh-kumar-psychiatrist
Dr. Pratap Kumar,"MBBS, MS, MCh",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-pratap-kumar-neuro-surgeon
Dr.C. Sudha Rani,"MBBS, MD ( DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-c-sudha-rani-dermatologist
Dr.D. Nagendar,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-d-nagendar-general-physician
Dr.M. Raja Rao,"MBBS, MD (Gen Med)",General Physician,skedoc.com/hyderabad/doctor/dr-m-raja-rao-general-physician
Dr. Jagadeesh Reddy Bandi,"MBBS, DO (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-jagadeesh-reddy-bandi-ophthalmologist
Dr. Ramakanth Reddy,"MBBS, MS, DNB (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-ramakanth-reddy-ophthalmologist
Dr. Adi Pratyusha,"MBBS, DPM",Psychiatrist,skedoc.com/hyderabad/doctor/dr-adi-pratyusha-psychiatrist
Dr. Anas Ansari,BDS,Dentist,skedoc.com/hyderabad/doctor/dr-anas-ansari-dentist
Dr. Arjuman Sultana,"MBBS, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-arjuman-sultana-gynaecologist
Dr. Arshiya Siddiqua,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-arshiya-siddiqua-gastroenterologist
Dr. Bharavi Chunduri,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-bharavi-chunduri-cardiologist
Dr. D Prasad Rao,MPT,Physiotherapist,skedoc.com/hyderabad/doctor/dr-d-prasad-rao-physiotherapist
Dr. Dolla Raja Ramesh,"MBBS, MD General Medicine (Osmania)",Diabetologist,skedoc.com/hyderabad/doctor/dr-dolla-raja-ramesh-general-physician
Dr. G. Krishna Karthik,"MBBS, DNB (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-g-krishna-karthik-pulmonologist
Dr. Khaleelullah SGDK,"MBBS, MS, MCh (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-khaleelullah-sgdk-orthopaedic-surgeon
Dr. Kushal Donkada,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-kushal-donkada-ent-surgeon
Dr. Mir Jawad Zar Khan,"MBBS, MS, M Ch (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-mir-jawad-zar-khan-orthopaedic-surgeon
Dr. Mohammed Wasif Azam,"MBBS, MD, DNB (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-mohammed-wasif-azam-cardiologist
Dr. Praveen Sadananda Gopan,"MBBS, MD (Psychiatry), MBA",Psychiatrist,skedoc.com/hyderabad/doctor/dr-praveen-sadananda-gopan-psychiatrist
Dr. Qayyum Quadri,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-qayyum-quadri-general-physician
Dr. Shabana Nazneen,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-shabana-nazneen-nephrologist
Dr. Shyam Sunder Rendedla,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-shyam-sunder-rendedla-orthopaedic-surgeon
Dr. T. Zeeshan Muzahid,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-t-zeeshan-muzahid-orthopaedic-surgeon
Dr. Uma Rani,"MBBS, DCh (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-uma-rani-paediatrician
Dr. Vijay Kumar Loya,"MBBS, MS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-vijay-kumar-loya-orthopaedic-surgeon
